RUN	computerdatabase.BasicSimulation	basicsimulation	1579861682450	 	3.3.1
USER	Scenario Name	1	START	1579861684060	1579861684060
REQUEST	1		request_1	1579861684101	1579861685062	OK	 
REQUEST	1		request_1 Redirect 1	1579861685084	1579861685366	OK	 
REQUEST	1		request_2	1579861692394	1579861692951	OK	 
REQUEST	1		request_3	1579861694954	1579861695237	OK	 
REQUEST	1		request_4	1579861698237	1579861698511	OK	 
REQUEST	1		request_4 Redirect 1	1579861698514	1579861698788	OK	 
REQUEST	1		request_5	1579861700784	1579861701063	OK	 
REQUEST	1		request_6	1579861701734	1579861702022	OK	 
REQUEST	1		request_7	1579861702654	1579861702934	OK	 
REQUEST	1		request_8	1579861703674	1579861703950	OK	 
REQUEST	1		request_9	1579861708945	1579861709487	OK	 
REQUEST	1		request_10	1579861710502	1579861710786	OK	 
REQUEST	1		request_10 Redirect 1	1579861710809	1579861711068	OK	 
USER	Scenario Name	1	END	1579861684060	1579861711084
